symbol,datum,bar,box_high,box_low,range_atr,richting,patroon,signaal_tijd,entry_tijd,entry,sl,sl_afstand,qty,risico_eur,tp_overkant,r_overkant,r_2x,r_3x,exit_overkant,exit_2x,exit_3x,max_mee_R,max_tegen_R
AAPL,2026-03-27,15min,254.69,252.34,0.46,LONG,bullish_engulfing,20:00,20:15,249.0,248.33,0.67,4.0161,2.69,254.69,-1.0,-1.0,-1.0,SL,SL,SL,0.21,1.12
AAPL,2026-03-30,15min,250.87,247.03,0.76,LONG,bullish_engulfing,17:30,17:45,246.9,246.34,0.56,4.0502,2.27,250.87,-1.0,-1.0,-1.0,SL,SL,SL,0.55,1.32
AAPL,2026-03-31,15min,249.2,247.64,0.31,LONG,bullish_engulfing,17:00,17:30,247.91,247.27,0.64,4.0337,2.58,249.2,2.0156250000000306,2.0,3.0,TP,TP,TP,2.17,0.0
AAPL,2026-04-06,15min,258.22,256.46,0.34,SHORT,bearish_engulfing,18:00,18:15,259.05,259.63,0.58,3.8603,2.24,256.46,0.5689655172413675,2.0,0.5689655172413675,deadline,TP,deadline,2.07,0.9
AAPL,2026-04-09,15min,260.03,257.96,0.34,LONG,bullish_engulfing,17:30,17:45,257.79,257.48,0.314,3.8791,1.22,260.03,7.133757961782802,2.0,3.0,TP,TP,TP,7.2,0.0
AAPL,2026-04-13,15min,260.18,257.52,0.44,LONG,bullish_engulfing,18:15,,257.29,256.8,0.49,3.8867,1.9,260.18,,,,niet gevuld,niet gevuld,niet gevuld,0.0,0.0
AAPL,2026-04-15,15min,260.3,257.81,0.43,SHORT,inverted_hamer,21:00,21:15,265.65,265.87,0.215,3.7644,0.81,257.81,-1.0,-1.0,-1.0,SL,SL,SL,1.86,1.3
AAPL,2026-04-16,15min,267.16,262.2,0.79,LONG,bullish_engulfing,17:00,17:20,262.19,261.85,0.34,3.814,1.3,267.16,4.338235294118033,2.0,3.0,deadline,TP,TP,6.94,0.06
AAPL,2026-04-17,15min,269.8,266.72,0.5,SHORT,bearish_engulfing,17:30,17:45,271.43,272.3,0.87,3.6842,3.21,266.72,1.5517241379310525,2.0,1.5517241379310525,deadline,TP,deadline,2.18,0.51
AAPL,2026-04-20,15min,273.25,270.33,0.46,SHORT,bearish_engulfing,21:15,,272.9,273.26,0.36,3.6643,1.32,270.33,,,,niet gevuld,niet gevuld,niet gevuld,0.0,0.0
