symbol,datum,bar,box_high,box_low,range_atr,richting,patroon,signaal_tijd,entry_tijd,entry,sl,sl_afstand,qty,risico_eur,tp_overkant,r_overkant,r_2x,r_3x,exit_overkant,exit_2x,exit_3x,max_mee_R,max_tegen_R
NFLX,2024-10-14,15min,725.73,721.34,0.3,SHORT,bearish_engulfing,16:00,16:30,722.25,726.0,3.75,1.3846,5.19,721.34,0.24266666666665818,2.0,1.4026666666666643,TP,TP,deadline,0.97,0.0
NFLX,2024-10-16,15min,705.0,700.44,0.31,LONG,bullish_engulfing,16:00,16:15,701.18,697.82,3.36,1.4262,4.79,705.0,1.1369047619048107,0.1607142857143135,0.1607142857143135,TP,deadline,deadline,1.27,0.16
NFLX,2024-10-17,15min,704.41,690.11,1.03,LONG,hamer,16:15,16:35,692.22,685.56,6.652,1.4446,9.61,704.41,0.49385277324264376,0.49385277324264376,0.49385277324264376,deadline,deadline,deadline,0.63,0.42
NFLX,2024-10-23,15min,763.79,757.53,0.32,LONG,hamer,16:15,16:40,757.61,754.02,3.594,1.3199,4.74,763.79,-1.0,-1.0,-1.0,SL,SL,SL,0.65,1.12
NFLX,2024-10-25,15min,759.84,753.53,0.31,SHORT,bearish_engulfing,17:45,,759.14,762.08,2.94,1.3173,3.87,753.53,,,,niet gevuld,niet gevuld,niet gevuld,0.0,0.0
NFLX,2024-11-04,15min,755.73,749.69,0.33,SHORT,bearish_engulfing,17:15,17:30,758.37,762.1,3.73,1.3186,4.92,749.69,0.6756213303305592,0.6756213303305592,0.6756213303305592,deadline,deadline,deadline,1.0,0.0
NFLX,2024-11-07,15min,785.0,779.94,0.27,SHORT,inverted_hamer,16:15,16:40,785.63,787.94,2.306,1.2729,2.94,779.94,-1.0,-1.0,-1.0,SL,SL,SL,0.16,1.11
NFLX,2024-11-27,15min,873.27,866.57,0.31,LONG,bullish_engulfing,17:15,,863.18,860.74,2.44,1.1585,2.83,873.27,,,,niet gevuld,niet gevuld,niet gevuld,0.0,0.0
NFLX,2024-12-04,15min,905.0,898.05,0.31,SHORT,bearish_engulfing,17:00,17:15,912.49,914.65,2.16,1.0959,2.37,898.05,-0.08796296296293689,2.0,-0.08796296296293689,deadline,TP,deadline,2.34,0.09
NFLX,2024-12-19,15min,912.56,903.73,0.46,LONG,bullish_engulfing,16:45,17:00,905.66,902.77,2.89,1.1042,3.19,912.56,-0.13494809688580905,-0.13494809688580905,-0.13494809688580905,deadline,deadline,deadline,0.55,0.92
NFLX,2024-12-20,15min,901.87,890.49,0.58,SHORT,bearish_engulfing,16:45,17:00,904.48,905.1,0.618,1.1056,0.68,890.49,-1.0,-1.0,-1.0,SL,SL,SL,0.0,7.91
NFLX,2024-12-23,15min,915.0,904.0,0.54,LONG,hamer,16:15,16:30,900.51,899.33,1.184,1.1105,1.31,915.0,-1.0,-1.0,-1.0,SL,SL,SL,1.48,1.19
NFLX,2024-12-26,15min,930.49,921.51,0.43,LONG,bullish_engulfing,17:30,17:50,917.66,915.65,2.01,1.0897,2.19,930.49,0.6442288557213881,0.6442288557213881,0.6442288557213881,deadline,deadline,deadline,0.75,0.22
NFLX,2025-01-21,15min,871.0,859.7,0.52,LONG,bullish_engulfing,16:15,16:30,864.9,859.53,5.37,1.1562,6.21,871.0,0.5735567970204913,0.5735567970204913,0.5735567970204913,deadline,deadline,deadline,0.69,0.66
NFLX,2025-01-23,15min,978.05,953.9,0.75,SHORT,inverted_hamer,16:45,17:25,976.0,984.43,8.428,1.0246,8.63,953.9,-0.4093668352823019,-0.4093668352823019,-0.4093668352823019,deadline,deadline,deadline,0.04,0.69
NFLX,2025-02-18,15min,1062.0,1050.0,0.54,LONG,hamer,17:00,17:15,1034.03,1027.19,6.834,0.9671,6.61,1062.0,0.45070344873525214,0.45070344873525214,0.45070344873525214,deadline,deadline,deadline,0.63,0.35
NFLX,2025-02-20,15min,1045.0,1034.4,0.45,LONG,hamer,16:15,16:30,1024.02,1015.59,8.435,0.9765,8.24,1045.0,-0.1553053511264833,-0.1553053511264833,-0.1553053511264833,deadline,deadline,deadline,0.22,0.95
NFLX,2025-02-26,15min,989.53,976.9,0.48,SHORT,bearish_engulfing,17:45,,994.67,1000.89,6.218,1.0054,6.25,976.9,,,,niet gevuld,niet gevuld,niet gevuld,0.0,0.0
NFLX,2025-02-27,15min,1000.73,987.81,0.49,LONG,bullish_engulfing,17:00,17:55,983.11,977.25,5.855,1.0172,5.96,1000.73,0.0,0.0,0.0,deadline direct,deadline direct,deadline direct,0.0,0.0
NFLX,2025-03-04,15min,974.4,960.75,0.47,LONG,bullish_engulfing,17:00,17:15,959.9,955.08,4.819,1.0418,5.02,974.4,-1.0,-1.0,-1.0,SL,SL,SL,0.0,1.01
NFLX,2025-03-11,15min,889.3,879.12,0.28,SHORT,bearish_engulfing,16:45,17:00,894.07,900.56,6.49,1.1185,7.26,879.12,-1.0,-1.0,-1.0,SL,SL,SL,0.08,1.05
NFLX,2025-04-02,15min,940.0,916.11,0.75,SHORT,bearish_engulfing,17:00,17:15,938.65,943.36,4.707,1.0654,5.01,916.11,0.24430140420197766,0.24430140420197766,0.24430140420197766,deadline,deadline,deadline,0.86,0.85
NFLX,2025-04-04,15min,906.63,886.32,0.62,LONG,bullish_engulfing,17:00,17:25,873.46,868.5,4.96,1.1449,5.68,906.63,-1.0,-1.0,-1.0,SL,SL,SL,0.0,1.3
NFLX,2025-04-22,15min,1037.4,1004.52,0.66,SHORT,bearish_engulfing,17:30,,1058.38,1060.46,2.08,0.9448,1.97,1004.52,,,,niet gevuld,niet gevuld,niet gevuld,0.0,0.0
NFLX,2025-04-24,15min,1078.16,1047.02,0.58,SHORT,bearish_engulfing,17:30,17:45,1084.32,1085.99,1.675,0.9222,1.54,1047.02,-1.0,-1.0,-1.0,SL,SL,SL,0.0,2.5
NFLX,2025-05-06,15min,1141.65,1126.4,0.39,SHORT,bearish_engulfing,16:45,17:00,1142.77,1147.66,4.895,0.8751,4.28,1126.4,0.5097037793667267,0.5097037793667267,0.5097037793667267,deadline,deadline,deadline,0.78,0.54
NFLX,2025-05-07,15min,1147.44,1138.0,0.26,SHORT,inverted_hamer,16:45,,1158.47,1162.57,4.105,0.8632,3.54,1138.0,,,,niet gevuld,niet gevuld,niet gevuld,0.0,0.0
NFLX,2025-05-08,15min,1162.29,1153.0,0.26,LONG,bullish_engulfing,17:00,17:15,1144.44,1139.2,5.245,0.8738,4.58,1162.29,0.8704240390482108,0.8704240390482108,0.8704240390482108,deadline,deadline,deadline,1.53,0.0
NFLX,2025-05-13,15min,1130.0,1106.3,0.78,SHORT,inverted_hamer,16:30,16:45,1137.13,1139.47,2.338,0.8794,2.06,1106.3,-1.0,-1.0,-1.0,SL,SL,SL,0.0,2.29
NFLX,2025-05-14,15min,1148.0,1128.4,0.62,SHORT,bearish_engulfing,16:15,16:30,1148.03,1152.06,4.03,0.8711,3.51,1128.4,-0.6848635235732033,-0.6848635235732033,-0.6848635235732033,deadline,deadline,deadline,0.93,0.99
NFLX,2025-05-15,15min,1158.96,1147.65,0.39,SHORT,bearish_engulfing,17:15,17:35,1169.22,1171.17,1.945,0.8553,1.66,1147.65,-1.0,-1.0,-1.0,SL,SL,SL,0.54,1.32
